"1","11","21","31","41","51","61","71","81","91","101","111","121","131","141","151","161","171","181","191","",""
"3886.5098948744385","4104.972348969558","4098.773932729641","4050.4294797027605","3984.6586986283664","4006.1380392928095","3970.5346401529896","3814.443683444864","3886.1083554274323","3794.227632725592","3906.488874186052","3860.622377928678","3719.7492482511334","3791.0745592422854","3811.4839062380534","3764.7413831781573","3814.743387174635","3600.2459488296813","3627.563070906603","3626.5674087025245","",""
"1440685563","991520559","582313736","529570946","558320673","518166189","491531432","520190861","496466250","497065532","493071401","522027296","506284537","516496464","505545980","522035601","701846881","646374606","589185537","551299898","",""
"1","11","21","31","41","51","61","71","81","91","101","111","121","131","141","151","161","171","181","191","",""
"4079.5697615519007","4106.153069664876","3971.259619367261","4028.9256811448654","4067.3478720827475","4047.822534789696","3998.601982245342","3985.5846990095283","3842.387217089338","3772.913976817195","3818.7415936323214","3712.6233661626197","3736.3607439569564","3664.311061940355","3912.151703429423","3996.7637340516003","3646.5587561835073","3702.3890951826093","3614.4185101488424","3508.9097510908973","",""
"1218382831","895504346","518291243","519618171","541543151","492722453","527131754","605190031","510894630","519824728","509674094","508491596","519531154","512363361","521077901","516303996","531672844","520154895","515260673","519227079","",""
"1","11","21","31","41","51","61","71","81","91","101","111","121","131","141","151","161","171","181","191","",""
"3871.376363823677","3929.0099401125876","3976.056310347422","3802.319363033759","3866.3367443090356","3908.9400569875793","3631.209534463684","3685.401468528315","3718.8520161881215","3628.7735689613733","3642.229766965379","3517.4573427613414","3594.6479777036534","3631.5338710568726","3725.238525329315","3565.9763013127053","3560.221856731417","3517.8336279872383","3356.643514257399","3579.5023861715417","",""
"1128956110","820659121","489832376","492263816","491900092","488904070","500369152","493777906","501789411","506101460","499243671","503253428","494568475","512762494","504810540","513543788","515879364","519417384","519996483","518738788","",""
"1","11","21","31","41","51","61","71","81","91","101","111","121","131","141","151","161","171","181","191","",""
"3551.5091029057603","3513.4446892025862","3564.872443574241","3566.133795639904","3479.4393745136636","3481.639239172403","3340.5807500346973","3479.3727259041934","3363.2980805661846","3320.1570086679953","3333.850306064426","3299.506439296025","3218.476928157332","3266.766486889659","3327.4743055974754","3155.5325237640354","3225.633509563595","3123.5716271572887","3302.920038607722","3164.5067882048","",""
"976157490","791072644","585425003","737738780","643011530","746869214","513182395","498372750","508110545","502796159","501826624","503511642","509418592","505586614","508819542","548284161","635799704","660296655","519553615","529124925","",""
"1","11","21","31","41","51","61","71","81","91","101","111","121","131","141","151","161","171","181","191","",""
"3411.2065927660465","3511.237618695922","3484.7807213768724","3397.19517841798","3466.1489091882986","3419.474214578014","3348.3599817515087","3355.8641911586074","3316.592204899977","3219.0878249346697","3314.7974235257334","3251.4987350134975","3228.669963553003","3187.4950316712716","3120.8978062590263","3149.9003865242976","3120.2825390811","3294.5606436201538","2995.344948618055","3091.00309852506","",""
"933791307","870616527","495954430","494800738","492657640","494533346","501809515","501413363","493206873","508230063","515194404","507394491","504833862","510284257","518129910","510887972","513026007","524661523","513517484","516366015","",""
"1","11","21","31","41","51","61","71","81","91","101","111","121","131","141","151","161","171","181","191","",""
"3457.0455282861676","3721.8451827058693","3693.2070472053","3557.8659062302577","3568.1104336426974","3515.35300771566","3348.6362349646724","3437.691325323361","3490.0346808020354","3481.5148273675773","3318.6814375948534","3354.7396754637252","3474.328253879038","3375.2854580535204","3310.732655821681","3157.7839010324974","3343.20717774089","3267.871240702602","3272.6063053551393","3251.482840819123","",""
"977464084","873449029","482688382","482000913","486184011","487865872","493642842","491633770","492885497","568056176","552017955","500449951","518986384","505853238","501948894","524874007","503934893","503723854","514771504","519216481","",""
"1","11","21","31","41","51","61","71","81","91","101","111","121","131","141","151","161","171","181","191","",""
"3406.95429763572","3604.490483793471","3453.441085631947","3488.9052516554175","3536.263133734855","3454.064689736195","3349.06561035315","3375.017090849398","3307.8434479271855","3304.858190984798","3278.1453477080513","3258.9402176814583","3168.6710865954983","3229.2233398741528","3226.2511972209","3146.7851499671524","3016.4329108705315","3131.9219030116883","3144.6988619725184","3036.315126510518","",""
"965465569","843949860","482390023","483389104","488478644","493998722","492907450","497387894","499064029","525036087","492833845","517713265","499487234","511691512","521868358","512304655","511957794","517419384","517627708","512701045","",""
"1","11","21","31","41","51","61","71","81","91","101","111","121","131","141","151","161","171","181","191","",""
