0,500,1000,1500,2000,2500,3000,3500,4000,4500,5000
2684.7508269794184,3682.263364250873,3632.983923973124,3620.3292240493474,3653.917742782116,3698.5181524936197,3676.787556352354,3704.3432553778034,3605.9577224355976,3638.042104639865,3673.5432197554833
3.9355573E7,1.458249935E9,2.702155691E9,3.359549051E9,4.04219445E9,5.076437723E9,6.021075399E9,7.242629189E9,9.07229535E9,1.076406499E10,1.2468753198E10
0,500,1000,1500,2000,2500,3000,3500,4000,4500,5000
2071.3971958965726,2907.8816556091997,2904.323344937374,2951.576858703098,2951.443478404929,2968.2931557246816,2897.0314294480495,2952.9351045099183,2948.598083441569,2910.242106490633,2911.8940675735194
4.1763232E7,1.897518533E9,2.439460521E9,3.224569242E9,4.330787208E9,5.220095856E9,6.269977948E9,7.325787541E9,8.583132634E9,9.461971715E9,1.0481977858E10
0,500,1000,1500,2000,2500,3000,3500,4000,4500,5000
3023.0118567018526,4282.083236758437,4399.473431783278,4364.074954078316,4304.87292827936,4389.370959869666,4397.189874000315,4395.233648203528,4280.652799280971,4348.283585260972,4325.168385996956
3.3739414E7,1.566873652E9,2.21519702E9,3.162901426E9,4.233821276E9,5.222702381E9,7.399085225E9,9.276602481E9,8.694297673E9,9.120034864E9,1.0292396718E10
0,500,1000,1500,2000,2500,3000,3500,4000,4500,5000
2462.818183886389,3092.3696595067745,3158.04344333094,3108.857139213522,3140.1366460463505,3056.1308363659377,3177.1481805105363,3144.9420921006445,3116.269714025128,3046.5616450493912,3126.4597449096354
1.22110754E8,1.488541097E9,2.192034536E9,3.285160338E9,4.271577002E9,5.389150452E9,6.924017415E9,7.373410015E9,8.550806643E9,9.476495049E9,1.0359780447E10
0,500,1000,1500,2000,2500,3000,3500,4000,4500,5000
3019.484207691488,3719.1418961516274,3706.182155010932,3733.0205529155883,3675.6812437571934,3688.0321029237343,3731.065904107993,3674.789888443229,3678.0049472222177,3676.880630470278,3718.861713485275
3.7048403E7,1.656152119E9,2.144854784E9,3.388818868E9,4.391823659E9,5.58548567E9,8.048140245E9,1.0350082709E10,8.739942434E9,9.706565579E9,1.0233074129E10
10,510,1010,1510,2010,2510,3010,3510,4010,4510,5010
3810.3693420431077,3934.2841510082912,3952.581027007856,3877.5197254597315,3872.919738186956,3915.2424620350907,3965.1640936522886,3985.7753066382143,3919.3312784877903,3850.1148520090696,3897.913320353572
1.18569099E8,1.554053368E9,2.262032917E9,3.159039966E9,4.201752084E9,5.216468672E9,6.230019602E9,8.095428853E9,8.730460817E9,9.362280366E9,1.0425135592E10
